stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_timezone,wheelchair_boarding
376,CONSE1,Conservatoire National de Région,43.724887,7.272986,,0,place_096794,,1
377,CAVEL4,Edith Cavell,43.71549,7.271987,,0,place_096858,,1
378,CAVEL6,Edith Cavell,43.714693,7.271788,,0,place_096858,,1
379,EDOUA8,Edouard VII,43.718134,7.274943,,0,place_096859,,0
380,EDOUA7,Edouard VII,43.717507,7.275025,,0,place_096859,,0
381,NOUZA6,El Nouzah,43.707074,7.279484,,0,place_096862,,0
382,EMMAN7,Emmanuel,43.704155,7.24268,,0,place_096863,,0
383,EMMAN8,Emmanuel,43.704403,7.242221,,0,place_096863,,0
384,ESCA6,Escale,43.689438,7.236562,,0,place_096864,,0
385,ESCA8,Escale,43.689505,7.236667,,0,place_096864,,0
386,ESCDA5,Escalier / Dauphiné,43.705121,7.247793,,0,place_096865,,0
387,ESCAR5,Escalier / Saint-Pierre,43.714851,7.23844,,0,place_096866,,0
388,ESCAR6,Escalier / Saint-Pierre,43.714866,7.23852,,0,place_096866,,0
389,MATER7,Maternelle,43.713674,7.238591,,0,place_097210,,0
392,ESCOF9,Escoffier,43.720726,7.293707,,0,place_096868,,1
393,ESCOF2,Escoffier,43.721242,7.293455,,0,place_096868,,1
395,ORVES8,Estienne d'Orves,43.701487,7.253649,,0,place_096869,,0
396,EVELI5,Evelins,43.703518,7.24427,,0,place_096870,,0
397,EVELI6,Evelins,43.703367,7.244532,,0,place_096870,,0
398,FABRO5,Fabron / Promenade,43.687268,7.23864,,0,place_096873,,1
399,FABRO8,Fabron,43.686847,7.237084,,0,place_096872,,1
401,FABRO1,Fabron / Promenade,43.686714,7.238212,,0,place_096873,,1
402,TSARA7,Faculté de Lettres,43.692163,7.237243,,0,place_096874,,1
403,TSARA3,Faculté de Lettres,43.69207,7.237265,,0,place_096874,,1
404,FANNY3,Fanny / Cessole,43.722381,7.250724,,0,place_FANNY,,1
411,CRFER1,Carras / Promenade,43.67951,7.230579,,0,place_096724,,1
412,FERBF1,Carras / Frémont,43.678525,7.228696,,0,place_096723,,1
413,FERDI6,Ferraudière,43.73594,7.263539,,0,place_096877,,1
414,FERDI7,Ferraudière,43.734764,7.262782,,0,place_096877,,1
415,FIORE1,Fiorentina,43.6776,7.22235,,0,place_096878,,0
416,FIORE3,Fiorentina,43.677603,7.222161,,0,place_096878,,0
417,FLLYS8,Fleur de Lys,43.742836,7.251152,,0,place_096879,,0
418,FLLYS9,Fleur de Lys,43.74275,7.25118,,0,place_096879,,0
419,FLORA0,Floralies,43.691257,7.219429,,0,place_096880,,0
420,FLORA1,Floralies,43.691166,7.219844,,0,place_096880,,0
421,FLORE6,Flores,43.714739,7.28165,,0,place_096881,,0
422,FLORE8,Flores,43.714848,7.280234,,0,place_096881,,0
423,FLORE7,Flores,43.7149,7.280287,,0,place_096881,,0
424,FLORV1,Florval,43.684465,7.2194,,0,place_096882,,0
425,FLORV2,Florval,43.684223,7.220056,,0,place_096882,,0
426,FONTA0,Fontaine,43.73573,7.259432,,0,place_096883,,0
427,FONTA1,Fontaine,43.735584,7.259236,,0,place_096883,,0
428,THAON1,Fort Thaon,43.69981,7.295935,,0,place_096885,,1
429,THAON6,Fort Thaon,43.700775,7.296584,,0,place_096885,,1
430,THAO51,Boulevard du Mont-Boron,43.699714,7.295091,,0,place_100426,,1
431,THAON8,Boulevard du Mont-Boron,43.699627,7.295184,,0,place_100426,,1
432,FOUGE8,Fougères,43.709367,7.219256,,0,place_096886,,0
433,FOUGE9,Fougères,43.709157,7.219303,,0,place_096886,,0
440,FRANK5,Franklin,43.699983,7.256225,,0,place_096890,,0
442,FRANK2,Franklin,43.699587,7.255433,,0,place_096890,,1
443,FMARC1,Frère Marc,43.720685,7.280218,,0,place_096891,,0
444,FMAR61,Frère Marc,43.720626,7.280336,,0,place_096891,,0
445,GAITI4,Gairautière,43.739916,7.256846,,0,place_096892,,0
